woman,district,age,urban,uso,ch
117,1,11.44,N,0,Y
118,2,-1.5599,N,0,Y
119,2,-5.5599,N,0,Y
120,2,-13.559,N,0,N
121,2,-5.5599,N,1,Y
122,2,19.44,N,0,Y
123,2,1.44,N,1,Y
124,2,-2.56,N,1,Y
125,2,6.44,N,1,Y
126,2,-5.5599,N,0,Y
127,2,7.44,N,1,Y
128,2,1.44,N,0,Y
129,2,0.44,N,0,Y
130,2,-11.559,N,0,N
131,2,10.44,N,0,Y
132,2,-7.56,N,0,N
133,2,-2.5599,N,1,Y
134,2,-13.559,N,0,N
135,2,-2.5599,N,1,Y
136,2,1.44,N,0,Y
137,2,-11.559,N,0,Y
138,3,-3.5599,Y,1,Y
139,3,-8.5599,Y,1,N
140,4,-6.5599,Y,1,Y
141,4,2.44,Y,1,Y
142,4,-1.5599,Y,1,Y
143,4,-3.5599,Y,0,N
144,4,4.44,Y,1,Y
145,4,7.44,Y,1,Y
146,4,7.44,Y,1,Y
147,4,-0.5599,Y,1,Y
148,4,-10.559,Y,1,Y
149,4,-3.5599,Y,1,Y
150,4,2.44,Y,1,Y
151,4,-2.5599,N,0,Y
152,4,-4.5599,N,1,Y
153,4,-4.5599,N,0,N
154,4,14.44,N,0,Y
155,4,16.44,N,0,Y
156,4,6.44,N,0,Y
157,4,-1.5599,N,0,Y
158,4,1.44,N,1,Y
159,4,2.44,N,0,Y
160,4,13.44,N,0,Y
161,4,16.44,N,0,Y
162,4,-0.5599,N,1,Y
163,4,8.44,N,1,Y
164,4,2.44,N,1,Y
165,4,-10.559,N,0,N
166,4,-1.5599,N,0,Y
167,4,-11.559,N,0,Y
168,4,-9.5599,N,0,Y
169,4,-7.5599,N,0,N
170,5,-13.56,Y,0,N
171,5,2.44,Y,1,Y
172,5,-4.5599,N,0,Y
173,5,3.44,N,0,Y
174,5,-13.559,N,0,N
175,5,-4.5599,N,1,Y
176,5,-11.559,N,0,N
177,5,-11.559,N,1,N
178,5,-6.5599,N,1,Y
179,5,13.44,N,0,Y
180,5,-11.559,N,1,N
181,5,-10.559,N,0,N
182,5,-10.559,N,0,N
183,5,16.44,N,0,Y
184,5,-3.56,N,0,N
185,5,-2.5599,N,0,Y
186,5,16.44,N,0,Y
187,5,7.44,N,1,Y
188,5,-10.559,N,0,N
189,5,0.44,N,0,Y
190,5,6.44,N,1,Y
191,5,2.44,N,0,Y
192,5,-9.5599,N,0,N
193,5,-8.56,N,1,Y
194,5,14.44,N,1,Y
195,5,1.44,N,1,Y
196,5,-4.5599,N,1,Y
197,5,-4.5599,N,0,Y
198,5,-7.5599,N,0,Y
199,5,-5.5599,N,1,Y
200,5,-8.5599,N,1,N
201,5,-12.56,N,0,N
202,5,-1.5599,N,0,Y
203,5,-1.5599,N,0,Y
204,5,18.44,N,0,Y
205,5,17.44,N,0,Y
206,5,-0.5599,N,1,Y
207,5,11.44,N,0,Y
208,5,13.44,N,0,Y
209,6,-0.5599,Y,1,N
210,6,-4.5599,Y,1,Y
211,6,-0.5599,Y,1,Y
212,6,11.44,Y,0,Y
213,6,-4.5599,Y,1,N
214,6,7.44,Y,0,Y
215,6,4.44,Y,1,Y
216,6,-5.56,N,0,Y
217,6,13.44,N,0,Y
218,6,-12.56,N,1,N
219,6,12.44,N,0,Y
220,6,-5.5599,N,0,Y
221,6,8.44,N,0,Y
222,6,-11.559,N,0,N
223,6,-0.5599,N,1,Y
224,6,-7.56,N,0,Y
225,6,6.44,N,0,Y
226,6,4.44,N,1,Y
227,6,-5.56,N,1,Y
228,6,-0.5599,N,1,Y
229,6,-6.56,N,0,N
230,6,0.44,N,0,Y
231,6,13.44,N,0,Y
232,6,11.44,N,0,Y
233,6,1.44,N,0,N
234,6,-5.5599,N,1,Y
235,6,-6.56,N,0,N
236,6,-4.56,N,1,Y
237,6,-2.5599,N,0,Y
238,6,13.44,N,1,Y
239,6,-9.5599,N,0,N
240,6,-11.559,N,0,N
241,6,-8.5599,N,0,N
242,6,-9.5599,N,0,N
243,6,-2.5599,N,0,Y
244,6,-10.559,N,0,N
245,6,18.44,N,0,Y
246,6,-7.56,N,1,Y
247,6,-4.5599,N,0,Y
248,6,-9.5599,N,0,Y
249,6,-0.56,N,1,Y
250,6,-8.5599,N,0,N
251,6,8.44,N,0,Y
252,6,-5.5599,N,0,Y
253,6,5.44,N,0,Y
254,6,-12.56,N,0,N
255,6,16.44,N,0,Y
256,6,8.44,N,0,Y
257,6,8.44,N,0,Y
258,6,-4.5599,N,0,Y
259,6,-6.56,N,0,N
260,6,-2.5599,N,0,Y
261,6,18.44,N,0,Y
262,6,18.44,N,0,Y
263,6,-0.56,N,0,Y
264,6,8.44,N,0,Y
265,6,-8.5599,N,0,Y
266,6,-5.5599,N,0,Y
267,6,0.44,N,1,Y
268,6,2.44,N,1,Y
269,6,-7.56,N,0,Y
270,6,-2.5599,N,1,Y
271,6,15.44,N,0,Y
272,6,10.44,N,1,Y
273,6,-7.5599,N,0,N
274,7,1.44,N,0,Y
275,7,-8.5599,N,0,Y
276,7,-7.56,N,0,Y
277,7,-13.56,N,0,N
278,7,-5.5599,N,0,Y
279,7,-10.559,N,0,N
280,7,3.44,N,1,Y
281,7,11.44,N,0,Y
282,7,-7.5599,N,1,N
283,7,-6.56,N,0,Y
284,7,-0.5599,N,0,Y
285,7,2.44,N,0,Y
286,7,3.44,N,1,Y
287,7,6.44,N,0,Y
288,7,-10.559,N,1,Y
289,7,1.44,N,0,Y
290,7,-10.559,N,0,N
291,7,-8.5599,N,1,N
292,8,-10.559,Y,1,N
293,8,0.44,Y,1,Y
294,8,19.44,N,0,N
295,8,9.44,N,0,Y
296,8,-4.5599,N,1,Y
297,8,-12.56,N,0,N
298,8,-5.5599,N,0,Y
299,8,11.44,N,0,Y
300,8,-6.5599,N,1,Y
301,8,-11.56,N,0,N
302,8,7.44,N,1,Y
303,8,0.44,N,0,Y
304,8,1.44,N,1,Y
305,8,-7.5599,N,1,Y
306,8,5.44,N,1,Y
307,8,2.44,N,0,Y
308,8,-7.5599,N,1,Y
309,8,-1.5599,N,0,Y
310,8,-9.5599,N,0,N
311,8,-6.5599,N,1,Y
312,8,-7.5599,N,0,N
313,8,19.44,N,1,Y
314,8,-8.5599,N,0,Y
315,8,-6.5599,N,0,Y
316,8,19.44,N,1,Y
317,8,13.44,N,1,Y
318,8,-9.5599,N,0,Y
319,8,-6.5599,N,0,N
320,8,12.44,N,0,Y
321,8,0.44,N,1,Y
322,8,16.44,N,0,Y
323,8,7.44,N,0,Y
324,8,-13.56,N,0,N
325,8,-3.5599,N,0,Y
326,8,-6.5599,N,0,N
327,8,-9.5599,N,0,N
328,8,-2.5599,N,0,Y
329,9,7.44,Y,1,Y
330,9,-3.5599,Y,1,Y
331,9,16.44,Y,0,Y
332,9,1.44,N,0,Y
333,9,-4.5599,N,1,Y
334,9,-3.5599,N,0,Y
335,9,-9.5599,N,1,Y
336,9,-0.5599,N,0,Y
337,9,2.44,N,1,Y
338,9,-11.559,N,0,N
339,9,10.44,N,0,Y
340,9,-5.5599,N,0,Y
341,9,-6.56,N,0,Y
342,9,10.44,N,1,Y
343,9,-10.559,N,0,Y
344,9,15.44,N,0,Y
345,9,-5.5599,N,0,Y
346,9,-12.56,N,0,N
347,9,-12.56,N,0,N
348,9,-8.5599,N,0,Y
349,9,-4.5599,N,1,Y
350,9,10.44,N,0,Y
351,9,11.44,N,0,Y
352,10,18.44,N,0,Y
353,10,-11.559,N,0,N
354,10,-6.5599,N,0,Y
355,10,3.44,N,0,Y
356,10,6.44,N,0,Y
357,10,13.44,N,0,N
358,10,15.44,N,0,Y
359,10,3.44,N,1,Y
360,10,15.44,N,0,Y
361,10,19.44,N,0,Y
362,10,12.44,N,0,N
363,10,-12.559,N,0,N
364,10,-9.5599,N,0,N
365,11,-9.5599,N,0,N
366,11,-8.5599,N,0,N
367,11,-5.5599,N,0,Y
368,11,18.44,N,0,Y
369,11,-8.5599,N,0,N
370,11,-9.5599,N,0,N
371,11,-12.559,N,0,N
372,11,3.44,N,0,N
373,11,-8.5599,N,0,N
374,11,19.44,N,0,Y
375,11,-3.5599,N,0,N
376,11,-5.5599,N,0,Y
377,11,2.44,N,0,Y
378,11,0.44,N,0,Y
379,11,-11.559,N,0,N
380,11,-2.5599,N,0,Y
381,11,2.44,N,0,Y
382,11,-8.5599,N,0,Y
383,11,-8.5599,N,0,N
384,11,-6.56,N,0,N
385,11,18.44,N,0,Y
386,12,9.44,Y,1,Y
387,12,18.44,Y,0,Y
388,12,-5.5599,Y,0,Y
389,12,4.44,Y,1,N
390,12,-3.5599,Y,0,Y
391,12,17.44,Y,0,Y
392,12,9.44,N,1,Y
393,12,-7.5599,N,0,Y
394,12,19.44,N,0,Y
395,12,6.44,N,0,Y
396,12,-1.5599,N,0,N
397,12,3.44,N,0,Y
398,12,-5.5599,N,1,N
399,12,5.44,N,0,Y
400,12,-11.559,N,1,N
401,12,-1.5599,N,0,Y
402,12,2.44,N,0,Y
403,12,-5.5599,N,0,Y
404,12,-1.5599,N,1,Y
405,12,5.44,N,0,Y
406,12,18.44,N,1,Y
407,12,10.44,N,0,Y
408,12,4.44,N,1,Y
409,12,3.44,N,0,Y
410,12,11.44,N,1,Y
411,12,-2.5599,N,0,Y
412,12,-1.5599,N,0,Y
413,12,8.44,N,1,Y
414,12,-4.5599,N,0,N
415,13,10.44,Y,0,Y
416,13,-11.559,Y,0,N
417,13,6.44,Y,1,Y
418,13,-7.5599,Y,1,N
419,13,-12.559,Y,0,Y
420,13,-3.5599,Y,1,Y
421,13,-8.5599,Y,0,N
422,13,-5.5599,Y,0,N
423,13,-2.5599,N,0,Y
424,13,16.44,N,0,Y
425,13,0.44,N,1,Y
426,13,-1.5599,N,1,Y
427,13,-2.5599,N,0,N
428,13,15.44,N,0,Y
429,13,0.44,N,0,Y
430,13,-7.5599,N,1,Y
431,13,10.44,N,0,N
432,13,-7.5599,N,0,N
433,13,3.44,N,0,Y
434,13,0.44,N,1,Y
435,13,13.44,N,0,N
436,13,4.44,N,1,Y
437,13,12.44,N,1,Y
438,13,-3.5599,N,1,Y
439,14,-9.5599,Y,0,N
440,14,-10.559,Y,1,N
441,14,-10.559,Y,0,Y
442,14,-11.559,Y,0,Y
443,14,-11.559,Y,1,N
444,14,2.44,Y,0,Y
445,14,7.44,Y,0,N
446,14,0.44,Y,0,N
447,14,-3.5599,Y,0,Y
448,14,-7.5599,Y,1,N
449,14,-2.5599,Y,1,Y
450,14,3.44,Y,0,Y
451,14,3.44,Y,1,Y
452,14,-11.559,Y,1,N
453,14,-4.5599,Y,1,Y
454,14,-10.559,Y,0,N
455,14,12.44,Y,1,Y
456,14,-7.5599,Y,0,Y
457,14,2.44,Y,1,Y
458,14,-10.559,Y,0,N
459,14,-10.559,Y,0,N
460,14,-8.5599,Y,1,N
461,14,8.44,Y,0,Y
462,14,-12.559,Y,0,N
463,14,-6.56,Y,0,Y
464,14,-8.5599,Y,1,N
465,14,14.44,Y,1,Y
466,14,16.44,Y,1,Y
467,14,6.44,Y,1,Y
468,14,16.44,Y,1,Y
469,14,-11.559,Y,1,N
470,14,3.44,Y,1,Y
471,14,-5.5599,Y,1,Y
472,14,-6.5599,Y,1,N
473,14,-2.5599,Y,1,Y
474,14,-7.5599,Y,1,Y
475,14,-1.56,Y,1,Y
476,14,2.44,Y,1,Y
477,14,5.44,Y,1,Y
478,14,0.44,Y,0,Y
479,14,9.44,Y,1,Y
480,14,4.44,Y,1,Y
481,14,-13.559,Y,1,N
482,14,-13.559,Y,1,N
483,14,6.44,Y,1,Y
484,14,2.44,Y,0,N
485,14,-8.5599,Y,0,N
486,14,12.44,Y,0,Y
487,14,-9.5599,Y,1,N
488,14,10.44,Y,1,Y
489,14,-11.559,Y,1,N
490,14,2.44,Y,0,Y
491,14,-10.559,Y,0,N
492,14,-8.5599,Y,1,N
493,14,2.44,Y,1,Y
494,14,4.44,Y,1,Y
495,14,7.44,Y,1,Y
496,14,-10.559,Y,0,Y
497,14,-6.5599,Y,0,N
498,14,3.44,Y,1,Y
499,14,-9.5599,Y,1,N
500,14,6.44,Y,0,Y
501,14,-4.5599,Y,1,Y
502,14,-5.5599,Y,1,Y
503,14,-8.5599,Y,0,Y
504,14,0.44,Y,1,Y
505,14,17.44,Y,1,Y
506,14,-7.5599,Y,1,Y
507,14,14.44,Y,0,Y
508,14,-4.5599,Y,0,Y
509,14,3.44,Y,1,Y
510,14,-1.5599,Y,1,Y
511,14,-8.5599,Y,1,Y
512,14,0.44,Y,1,Y
513,14,-6.5599,Y,1,Y
514,14,13.44,Y,1,Y
515,14,0.44,Y,1,N
516,14,7.44,Y,1,Y
517,14,0.44,Y,1,Y
518,14,-1.5599,Y,0,N
519,14,-12.559,Y,1,N
520,14,18.44,Y,0,Y
521,14,7.44,Y,1,Y
522,14,-8.5599,Y,1,N
523,14,11.44,Y,1,Y
524,14,13.44,Y,1,Y
525,14,-7.5599,Y,1,Y
526,14,-10.559,Y,0,N
527,14,-3.5599,Y,1,Y
528,14,-7.5599,Y,1,Y
529,14,-4.5599,Y,1,Y
530,14,-8.5599,Y,1,N
531,14,-2.5599,Y,0,Y
532,14,-9.5599,Y,1,N
533,14,0.44,Y,1,N
534,14,-5.5599,Y,0,N
535,14,-3.5599,Y,1,N
536,14,-10.559,Y,1,Y
537,14,0.44,Y,0,Y
538,14,8.44,Y,1,Y
539,14,4.44,Y,1,Y
540,14,2.44,N,1,Y
541,14,-5.5599,N,1,Y
542,14,-6.5599,N,0,Y
543,14,6.44,N,0,Y
544,14,-7.5599,N,0,Y
545,14,-1.5599,N,0,Y
546,14,-3.5599,N,0,Y
547,14,10.44,N,1,Y
548,14,18.44,N,0,Y
549,14,-12.559,N,1,N
550,14,17.44,N,0,Y
551,14,-5.5599,N,1,Y
552,14,-12.559,N,0,N
553,14,-10.56,N,0,N
554,14,0.44,N,0,Y
555,14,-8.5599,N,0,Y
556,14,17.44,N,1,Y
557,15,14.44,Y,1,Y
558,15,-13.559,Y,0,N
559,15,1.44,Y,0,Y
560,15,2.44,Y,0,Y
561,15,-0.5599,Y,1,Y
562,15,19.44,Y,0,Y
563,15,0.44,Y,0,Y
564,15,-4.5599,Y,1,N
565,15,-3.5599,N,1,Y
566,15,-9.5599,N,0,N
567,15,10.44,N,0,Y
568,15,4.44,N,0,Y
569,15,8.44,N,1,Y
570,15,-5.5599,N,0,Y
571,15,-2.5599,N,0,N
572,15,-7.56,N,0,N
573,15,-12.559,N,0,N
574,15,-4.5599,N,1,Y
575,15,-8.5599,N,0,Y
576,15,-10.559,N,0,N
577,15,-2.5599,N,1,Y
578,15,-5.5599,N,1,Y
579,16,-0.5599,Y,1,Y
580,16,-9.5599,Y,1,N
581,16,-12.56,N,0,N
582,16,-12.56,N,0,N
583,16,-10.559,N,1,N
584,16,-12.56,N,0,N
585,16,-8.5599,N,1,N
586,16,4.44,N,1,Y
587,16,17.44,N,1,Y
588,16,8.44,N,1,Y
589,16,4.44,N,0,Y
590,16,-10.559,N,1,Y
591,16,-10.559,N,0,N
592,16,-13.559,N,0,N
593,16,0.44,N,0,Y
594,16,10.44,N,1,Y
595,16,-12.56,N,0,N
596,16,18.44,N,0,Y
597,16,-10.559,N,1,N
598,16,-6.5599,N,1,Y
599,17,-11.559,N,0,N
600,17,-12.559,N,0,N
601,17,-0.5599,N,1,Y
602,17,4.44,N,1,Y
603,17,5.44,N,1,Y
604,17,-7.5599,N,0,Y
605,17,-5.5599,N,0,Y
606,17,15.44,N,0,Y
607,17,-4.5599,N,0,N
608,17,-12.559,N,0,N
609,17,-5.5599,N,0,Y
610,17,-2.5599,N,0,Y
611,17,-12.559,N,0,N
612,17,1.44,N,0,N
613,17,7.44,N,1,Y
614,17,9.44,N,0,Y
615,17,-2.5599,N,1,Y
616,17,-2.5599,N,0,Y
617,17,0.44,N,0,Y
618,17,-0.5599,N,1,Y
619,17,-5.5599,N,0,Y
620,17,0.44,N,1,Y
621,17,11.44,N,0,Y
622,17,9.44,N,0,Y
623,18,-1.56,Y,0,N
624,18,-5.5599,Y,1,Y
625,18,1.44,Y,0,Y
626,18,-1.5599,Y,0,Y
627,18,-9.5599,Y,0,N
628,18,2.44,Y,1,Y
629,18,-7.5599,Y,0,N
630,18,-11.559,Y,0,N
631,18,0.44,Y,1,Y
632,18,15.44,Y,1,Y
633,18,-7.5599,Y,0,N
634,18,-8.5599,Y,1,N
635,18,-9.5599,Y,1,N
636,18,8.44,Y,1,Y
637,18,-12.559,N,0,N
638,18,-6.5599,N,1,Y
639,18,-10.559,N,0,N
640,18,-8.5599,N,0,Y
641,18,-8.5599,N,0,N
642,18,-13.56,N,1,N
643,18,-0.5599,N,1,Y
644,18,1.44,N,0,Y
645,18,-13.56,N,0,N
646,18,-11.559,N,0,N
647,18,15.44,N,0,Y
648,18,-5.5599,N,1,Y
649,18,12.44,N,0,Y
650,18,17.44,N,0,Y
651,18,-5.5599,N,1,Y
652,18,6.44,N,1,Y
653,18,8.44,N,0,Y
654,18,17.44,N,0,Y
655,18,-2.5599,N,0,Y
656,18,4.44,N,0,Y
657,18,0.44,N,0,N
658,18,-13.559,N,1,Y
659,18,-2.5599,N,0,Y
660,18,1.44,N,0,Y
661,18,17.44,N,0,N
662,18,-6.5599,N,0,Y
663,18,-6.5599,N,0,Y
664,18,5.44,N,0,Y
665,18,-6.5599,N,1,Y
666,18,-4.5599,N,0,N
667,18,7.44,N,0,Y
668,18,16.44,N,0,Y
669,18,-10.559,N,1,N
670,19,-2.5599,Y,0,N
671,19,-11.559,Y,1,Y
672,19,-1.5599,Y,1,Y
673,19,-12.559,Y,1,N
674,19,18.44,N,0,Y
675,19,2.44,N,1,Y
676,19,-0.5599,N,1,Y
677,19,-6.5599,N,0,N
678,19,3.44,N,0,Y
679,19,11.44,N,0,Y
680,19,14.44,N,0,Y
681,19,5.44,N,0,Y
682,19,-9.5599,N,0,N
683,19,-2.5599,N,0,N
684,19,-6.5599,N,0,Y
685,19,0.44,N,1,N
686,19,-1.5599,N,0,N
687,19,-10.56,N,0,N
688,19,3.44,N,1,Y
689,19,3.44,N,1,Y
690,19,2.44,N,1,Y
691,19,-5.5599,N,0,Y
692,19,-5.5599,N,0,Y
693,19,0.44,N,0,Y
694,19,12.44,N,1,Y
695,19,5.44,N,0,Y
696,20,-1.5599,N,0,Y
697,20,3.44,N,0,Y
698,20,-12.56,N,1,N
699,20,-0.5599,N,1,Y
700,20,17.44,N,0,Y
701,20,-12.56,N,1,N
702,20,-10.559,N,1,N
703,20,-5.5599,N,0,Y
704,20,11.44,N,0,Y
705,20,-12.56,N,0,N
706,20,-13.559,N,0,N
707,20,8.44,N,0,N
708,20,-13.559,N,0,N
709,20,12.44,N,1,Y
710,20,-1.5599,N,1,Y
711,21,18.44,Y,0,Y
712,21,19.44,Y,0,Y
713,21,-12.559,Y,1,N
714,21,-13.56,Y,0,N
715,21,-3.5599,Y,0,Y
716,21,14.44,Y,0,Y
717,21,12.44,Y,0,Y
718,21,-6.5599,Y,0,Y
719,21,7.44,N,0,Y
720,21,1.44,N,1,N
721,21,-7.5599,N,0,Y
722,21,-1.5599,N,1,Y
723,21,-2.5599,N,0,Y
724,21,-4.5599,N,1,Y
725,21,2.44,N,1,N
726,21,-0.5599,N,1,Y
727,21,-7.5599,N,1,N
728,21,-10.559,N,0,N
729,22,4.44,N,0,Y
730,22,-5.5599,N,1,Y
731,22,19.44,N,0,N
732,22,-1.5599,N,0,Y
733,22,-10.559,N,0,N
734,22,-4.5599,N,0,Y
735,22,17.44,N,0,Y
736,22,-3.5599,N,1,Y
737,22,-3.56,N,0,Y
738,22,3.44,N,0,Y
739,22,-8.5599,N,0,Y
740,22,-1.56,N,0,Y
741,22,5.44,N,0,Y
742,22,-11.559,N,0,N
743,22,17.44,N,0,Y
744,22,6.44,N,0,Y
745,22,0.44,N,0,Y
746,22,0.44,N,0,Y
747,22,-4.5599,N,1,Y
748,22,-1.5599,N,1,Y
749,23,-4.5599,N,0,Y
750,23,-8.5599,N,0,N
751,23,-1.5599,N,1,Y
752,23,-2.5599,N,0,Y
753,23,16.44,N,0,Y
754,23,-1.5599,N,0,Y
755,23,-5.56,N,0,Y
756,23,10.44,N,0,Y
757,23,10.44,N,1,Y
758,23,-11.559,N,0,N
759,23,8.44,N,0,Y
760,23,7.44,N,1,Y
761,23,-11.559,N,0,N
762,23,5.44,N,1,Y
763,23,8.44,N,0,Y
764,24,-8.5599,N,0,N
765,24,-3.5599,N,0,Y
766,24,-6.5599,N,0,Y
767,24,17.44,N,0,Y
768,24,-11.559,N,0,N
769,24,-10.559,N,0,N
770,24,5.44,N,0,Y
771,24,9.44,N,0,Y
772,24,4.44,N,0,Y
773,24,6.44,N,0,N
774,24,6.44,N,1,Y
775,24,-13.56,N,0,N
776,24,-4.5599,N,0,Y
777,24,15.44,N,0,Y
778,25,-8.5599,Y,0,N
779,25,-5.5599,Y,1,Y
780,25,-3.5599,Y,0,N
781,25,1.44,Y,1,Y
782,25,-1.5599,Y,0,N
783,25,9.44,Y,1,Y
784,25,8.44,Y,1,Y
785,25,-0.5599,Y,1,Y
786,25,-5.56,Y,0,Y
787,25,0.44,Y,0,N
788,25,-1.5599,Y,1,Y
789,25,-11.559,Y,0,N
790,25,-11.559,Y,0,N
791,25,4.44,Y,1,Y
792,25,-9.5599,Y,0,N
793,25,-10.559,Y,0,N
794,25,2.44,Y,0,Y
795,25,-7.5599,Y,1,Y
796,25,18.44,N,1,Y
797,25,-6.5599,N,0,Y
798,25,-2.5599,N,0,Y
799,25,-3.5599,N,1,Y
800,25,-8.5599,N,1,Y
801,25,6.44,N,1,Y
802,25,-13.56,N,0,N
803,25,3.44,N,0,Y
804,25,3.44,N,0,Y
805,25,1.44,N,0,Y
806,25,-8.5599,N,0,N
807,25,0.44,N,1,Y
808,25,4.44,N,1,Y
809,25,-5.5599,N,0,Y
810,25,5.44,N,1,Y
811,25,-10.559,N,1,Y
812,25,-9.5599,N,1,Y
813,25,4.44,N,0,Y
814,25,1.44,N,1,Y
815,25,-12.56,N,0,N
816,25,-6.5599,N,0,Y
817,25,-4.5599,N,0,Y
818,25,-1.5599,N,0,N
819,25,5.44,N,1,Y
820,25,5.44,N,1,Y
821,25,2.44,N,0,Y
822,25,10.44,N,1,Y
823,25,-11.56,N,0,N
824,25,4.44,N,1,Y
825,25,7.44,N,0,Y
826,25,-6.5599,N,1,Y
827,25,0.44,N,1,Y
828,25,-1.5599,N,1,Y
829,25,-5.5599,N,0,Y
830,25,-2.5599,N,0,Y
831,25,14.44,N,1,Y
832,25,-5.5599,N,0,N
833,25,-11.559,N,1,Y
834,25,1.44,N,1,Y
835,25,-0.56,N,0,Y
836,25,18.44,N,0,Y
837,25,-1.5599,N,0,Y
838,25,-11.56,N,0,N
839,25,-5.5599,N,0,Y
840,25,-1.5599,N,0,Y
841,25,-2.5599,N,1,Y
842,25,4.44,N,1,Y
843,25,-12.56,N,0,N
844,25,5.44,N,0,Y
845,26,5.44,N,1,Y
846,26,5.44,N,0,Y
847,26,3.44,N,0,Y
848,26,7.44,N,0,Y
849,26,-8.5599,N,0,Y
850,26,-9.5599,N,0,Y
851,26,-9.5599,N,0,N
852,26,7.44,N,1,Y
853,26,-5.5599,N,0,Y
854,26,-2.5599,N,1,Y
855,26,15.44,N,0,Y
856,26,7.44,N,1,Y
857,26,-2.5599,N,1,Y
858,27,1.44,Y,0,Y
859,27,-2.5599,Y,0,N
860,27,4.44,Y,0,Y
861,27,-9.5599,Y,1,N
862,27,14.44,Y,1,Y
863,27,-6.56,N,0,Y
864,27,-12.559,N,0,N
865,27,15.44,N,0,Y
866,27,10.44,N,0,Y
867,27,2.44,N,0,Y
868,27,14.44,N,0,Y
869,27,19.44,N,0,Y
870,27,6.44,N,0,Y
871,27,10.44,N,0,Y
872,27,-5.5599,N,1,N
873,27,19.44,N,0,Y
874,27,0.44,N,0,N
875,27,-12.559,N,0,N
